"ID";"Woningkenmerken";"RegioS";"Perioden";"GemiddeldAardgasverbruik_1";"GemiddeldElektriciteitsverbruik_2";"Stadsverwarming_3"
"68";"T001100";"PV23  ";"2014JJ00";"    1300";"    3250";"     2.0"
"69";"T001100";"PV23  ";"2015JJ00";"    1390";"    3130";"     2.8"
"70";"T001100";"PV23  ";"2016JJ00";"    1430";"    3070";"     3.0"
"71";"T001100";"PV23  ";"2017JJ00";"    1390";"    3010";"     3.1"
"72";"T001100";"PV24  ";"2010JJ00";"    1150";"    3650";"    31.0"
"73";"T001100";"PV24  ";"2011JJ00";"     950";"    3600";"    32.0"
"74";"T001100";"PV24  ";"2012JJ00";"     950";"    3500";"    32.9"
"75";"T001100";"PV24  ";"2013JJ00";"    1000";"    3450";"    32.8"
"76";"T001100";"PV24  ";"2014JJ00";"     750";"    3350";"    32.5"
"77";"T001100";"PV24  ";"2015JJ00";"     760";"    3270";"    33.1"
"78";"T001100";"PV24  ";"2016JJ00";"     850";"    3140";"    33.0"
"79";"T001100";"PV24  ";"2017JJ00";"     810";"    3050";"    32.7"
"80";"T001100";"PV25  ";"2010JJ00";"    2000";"    3450";"       ."
"81";"T001100";"PV25  ";"2011JJ00";"    1600";"    3450";"       ."
"82";"T001100";"PV25  ";"2012JJ00";"    1650";"    3400";"     2.6"
"83";"T001100";"PV25  ";"2013JJ00";"    1750";"    3300";"     2.4"
"84";"T001100";"PV25  ";"2014JJ00";"    1300";"    3200";"     2.5"
"85";"T001100";"PV25  ";"2015JJ00";"    1390";"    3130";"     2.9"
"86";"T001100";"PV25  ";"2016JJ00";"    1440";"    3030";"     2.9"
"87";"T001100";"PV25  ";"2017JJ00";"    1390";"    2950";"     2.8"
"88";"T001100";"PV26  ";"2010JJ00";"    1750";"    3350";"    11.0"
"89";"T001100";"PV26  ";"2011JJ00";"    1350";"    3350";"    10.0"
"90";"T001100";"PV26  ";"2012JJ00";"    1350";"    3250";"    12.5"
"91";"T001100";"PV26  ";"2013JJ00";"    1450";"    3200";"    11.5"
"92";"T001100";"PV26  ";"2014JJ00";"    1050";"    3100";"    11.2"
"93";"T001100";"PV26  ";"2015JJ00";"    1150";"    3020";"    11.9"
"94";"T001100";"PV26  ";"2016JJ00";"    1200";"    2980";"    12.0"
"95";"T001100";"PV26  ";"2017JJ00";"    1140";"    2930";"    12.0"
